NF,VALOR NF,PESO,QTD. BOBINAS,TRANSPORTADOR,MODAL,ORIGEM,DESTINO,UF DEST,CONTÊINER,CUSTO TRANSP.,VLR ADICIONAL,VALOR DO FRETE,ADV,BAF,INFRAEST. PEDAGIO,IMPOSTOS,DATA CARREG
1352024,376615.9,24297.8,42,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MRSU56053102024,14860.7,,14860.7,,,,,2024-03-26
1382024,391196.75,25238.5,42,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MSKU92965212024,14877.27,,14877.27,,,,,2024-03-27
1372024,390066.8,25165.6,43,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,SUDU58322402024,14875.99,,14875.99,,,,,2024-03-27
62024,261036,22853.4,17,ALIANÇA,Cabotagem,Manaus AM,ANTA GORDA,RS,DFSU62055682024,15568.23,,15568.23,,,,,2024-03-28
1402024,368126.55,25933.5,61,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MRKU37320822024,14873.78,,14873.78,,,,,2024-03-28
1412024,356277.35,24256.5,69,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,GCXU5724418 2024,14860.32,,14860.32,,,,,2024-03-28
1392024,389164.7,25107.4,45,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MSKU15002642024,14897.68,,14897.68,,,,,2024-03-28
1432024,364502.6,24916.8,51,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,CAAU64890062024,15405.01,,15405.01,,,,,2024-04-03
1422024,354258.1,24949,52,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,CAIU77823042024,15367.76,,15367.76,,,,,2024-04-03
1452024,352703.55,24410.7,41,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,MSMU638117232024,15362.1,,15362.1,,,,,2024-04-04
1442024,386416.55,24930.1,50,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,TRHU70420492024,15484.7,,15484.7,,,,,2024-04-04
1472024,362202.75,24979.5,64,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,CXDU11073552024,15396.65,,15396.65,,,,,2024-04-05
1482024,366787.15,24493.1,50,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,CAAU63816862024,15413.32,,15413.32,,,,,2024-04-05
1562024,358799.6,24744.8,55,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,HASU40146312024,14863.18,,14863.18,,,,,2024-04-10
1582024,381231.1,26291.8,53,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MRKU27209762024,14888.67,,14888.67,,,,,2024-04-11
1602024,364622.8,25146.4,61,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MRKU23359592024,14869.8,,14869.8,,,,,2024-04-12
1642024,326570.45,24676.5,44,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,SUDU88806902024,14826.56,,14826.56,,,,,2024-04-14
1622024,348771.9,24593.4,52,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,TRHU70475022024,15347.81,,15347.81,,,,,2024-04-15
1682024,244978.65,23331.3,46,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MRSU56615662024,14817.93,,14817.93,,,,,2024-04-30
1672024,239035.65,22765.3,45,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MRKU 48491342024,14811.18,,14811.18,,,,,2024-04-30
1692024,245037.45,23336.9,41,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MIEU 30522962024,14818,,14818,,,,,2024-04-30
1772024,358019.5,24691,62,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,MSCU 53344552024,15381.43,,15381.43,,,,,2024-05-15
1792024,311243.35,25446.3,54,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS, FFAU 37982422024,15211.34,,15211.34,,,,,2024-05-16
1802024,338631.3,24493.6,47,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,TCLU 82880622024,15310.93,,15310.93,,,,,2024-05-16
1832024,385171.9,24849.8,42,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,TGHU78902012024,15640.17,160,15480.17,,,,,2024-05-28
1852024,393472.15,25385.3,43,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,FBLU0090982024,15510.35,,15510.35,,,,,2024-05-29
1872024,387196.2,24980.4,42,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,MEDU84819232024,15487.53,,15487.53,,,,,2024-05-31
1912024,391880.3,25282.6,43,MERCOSUL LINE,Cabotagem,Manaus AM,Carazinho,RS,FSCU878276002024,19304.18,2552.38,16751.8,,,,,2024-05-31
1922024,381251.95,24596.9,44,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,TRHU70508882024,15465.92,,15465.92,,,,,2024-05-31
1882024,391764.05,25275.1,43,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,MSMU45165212024,15504.14,,15504.14,,,,,2024-05-31
1932024,390651.15,25203.3,45,MERCOSUL LINE,Cabotagem,Manaus AM,Carazinho,RS,TCNU29425532024,16746.92,,16746.92,,,,,2024-05-31
1972024,387493.8,24999.6,45,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,MEDU44890212024,18232.93,2744.32,15488.61,,,,,2024-06-05
1982024,393774.4,25404.8,46,MERCOSUL LINE,Cabotagem,Manaus AM,Carazinho,RS,HNSU50064482024,16759.34,,16759.34,,,,,2024-06-05
1992024,379474.1,24482.2,44,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,AMFU89159542024,15459.45,,15459.45,,,,,2024-06-06
2002024,116611.15,7523.3,11,MERCOSUL LINE,Cabotagem,Manaus AM,Carazinho,RS,CMAU78440082024,16716.41,,16716.41,,,,,2024-06-06
2012024,92220.35,5949.7,10,MERCOSUL LINE,Cabotagem,Manaus AM,Carazinho,RS,CMAU78440082024,,,,,,,,2024-06-06
2022024,174149.35,12010.3,24,MERCOSUL LINE,Cabotagem,Manaus AM,Carazinho,RS,CMAU78440082024,,,,,,,,2024-06-06
2042024,191732.05,13222.9,27,MERCOSUL LINE,Cabotagem,Manaus AM,Carazinho,RS,TCLU78395142024,16643.11,,16643.11,,,,,2024-06-07
2052024,172818.25,11918.5,26,MERCOSUL LINE,Cabotagem,Manaus AM,Carazinho,RS,TCLU78395142024,,,,,,,,2024-06-07
2062024,365646.5,25217,53,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,MSDU58423832024,16312.58,903.41,15409.17,,,,,2024-06-07
2072024,367219.75,25325.5,52,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,FCIU81484792024,15414.89,,15414.89,,,,,2024-06-13
2082024,375192.8,25034.4,51,LOG-IN,Cabotagem,Manaus AM,Carazinho,RS,TEMU77220582024,15443.88,,15443.88,,,,,2024-06-13
2092024,351231.55,22660.1,41,BERTOLINI,Rodoviário,Manaus AM,Carazinho,RS,1001A,25799.65,,25799.65,,,,,2024-06-14
2102024,380689.3,24560.6,43,BERTOLINI,Rodoviário,Manaus AM,Carazinho,RS,1001B,25900.07,,25900.07,,,,,2024-06-14
